Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
0,"""2015 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",46245,432499,2015,"""New_Delhi""",7
1,"""2012 Maruti Swift""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",95779,383499,2012,"""New_Delhi""",10
2,"""2012 Maruti Swift""","""Manual""","""3rd Owner""","""Petrol""","""Maruti-Swift""",12761,371599,2012,"""New_Delhi""",10
3,"""2018 Maruti Alto 800""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",41575,323699,2018,"""New_Delhi""",4
4,"""2015 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",89851,392899,2015,"""New_Delhi""",7
5,"""2017 Tata Tiago""","""Manual""","""1st Owner""","""Petrol""","""Tata-Tiago""",18534,456299,2017,"""New_Delhi""",5
6,"""2014 Honda Amaze""","""Automatic""","""1st Owner""","""Petrol""","""Honda-Amaze""",33228,464499,2014,"""New_Delhi""",8
7,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",35853,486499,2017,"""New_Delhi""",5
8,"""2016 Maruti Swift Dzire""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",91792,505199,2016,"""New_Delhi""",6
9,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",28998,646599,2016,"""New_Delhi""",6
10,"""2016 Ford Ecosport""","""Automatic""","""1st Owner""","""Petrol""","""Ford-Ecosport""",41253,684299,2016,"""New_Delhi""",6
11,"""2018 Mahindra Scorpio""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-Scorpio""",16042,1183099,2018,"""New_Delhi""",4
12,"""2013 Hyundai New Elantra""","""Manual""","""2nd Owner""","""Diesel""","""Hyundai-New""",48186,630099,2013,"""New_Delhi""",9
13,"""2017 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",78203,855999,2017,"""New_Delhi""",5
14,"""2014 Nissan Terrano""","""Manual""","""1st Owner""","""Diesel""","""Nissan-Terrano""",89716,454499,2014,"""New_Delhi""",8
15,"""2021 Toyota URBAN CRUISER""",,"""1st Owner""","""Petrol""","""Toyota-URBAN""",11828,925899,2021,"""New_Delhi""",1
16,"""2014 Nissan Terrano""","""Manual""","""1st Owner""","""Diesel""","""Nissan-Terrano""",51904,482099,2014,"""New_Delhi""",8
17,"""2014 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",82295,964299,2014,"""New_Delhi""",8
18,"""2014 Mahindra Scorpio""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-Scorpio""",64347,650599,2014,"""New_Delhi""",8
19,"""2015 Hyundai i20 Active""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-i20""",58072,537099,2015,"""New_Delhi""",7
20,"""2015 Hyundai i20 Active""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-i20""",83338,509699,2015,"""New_Delhi""",7
21,"""2021 Hyundai VENUE""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-VENUE""",2213,1213499,2021,"""New_Delhi""",1
22,"""2021 Maruti Ciaz""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Ciaz""",13554,1169399,2021,"""New_Delhi""",1
23,"""2016 Volkswagen Ameo""","""Manual""","""1st Owner""","""Petrol""","""Volkswagen-Ameo""",29809,398799,2016,"""New_Delhi""",6
24,"""2013 Mercedes Benz E Class""","""Automatic""","""2nd Owner""","""Diesel""","""Mercedes-Benz""",42881,1455599,2013,"""New_Delhi""",9
25,"""2018 Jeep Compass""","""Manual""","""1st Owner""","""Diesel""","""Jeep-Compass""",71745,1270999,2018,"""New_Delhi""",4
26,"""2017 Mahindra Scorpio""","""Manual""","""2nd Owner""","""Diesel""","""Mahindra-Scorpio""",45022,907899,2017,"""New_Delhi""",5
27,"""2017 Mahindra TUV300""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-TUV300""",27650,651699,2017,"""New_Delhi""",5
28,"""2010 Hyundai i20""","""Manual""","""2nd Owner""","""Petrol""","""Hyundai-i20""",42422,270399,2010,"""New_Delhi""",12
29,"""2015 Toyota Fortuner""","""Automatic""","""2nd Owner""","""Diesel""","""Toyota-Fortuner""",90086,1577799,2015,"""New_Delhi""",7
30,"""2020 MG HECTOR PLUS""","""Manual""","""1st Owner""","""Petrol""","""MG-HECTOR""",2775,1837899,2020,"""New_Delhi""",2
31,"""2015 BMW 3 Series""","""Automatic""","""2nd Owner""","""Diesel""","""BMW-3""",35681,1526399,2015,"""New_Delhi""",7
32,"""2016 Nissan Terrano""","""Manual""","""2nd Owner""","""Petrol""","""Nissan-Terrano""",63088,534699,2016,"""New_Delhi""",6
33,"""2019 Maruti XL6""","""Manual""","""1st Owner""","""Petrol""","""Maruti-XL6""",23604,1093299,2019,"""New_Delhi""",3
34,"""2010 Maruti Wagon R 1.0""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Wagon""",48915,244099,2010,"""New_Delhi""",12
35,"""2016 Maruti S Cross""","""Manual""","""1st Owner""","""Diesel""","""Maruti-S""",73865,599699,2016,"""New_Delhi""",6
36,"""2016 Ford Endeavour""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Endeavour""",78295,1642299,2016,"""New_Delhi""",6
37,"""2017 Honda WR-V""","""Manual""","""1st Owner""","""Petrol""","""Honda-WR-V""",17682,739999,2017,"""New_Delhi""",5
38,"""2016 BMW X1""","""Automatic""","""2nd Owner""","""Diesel""","""BMW-X1""",30382,1619599,2016,"""New_Delhi""",6
39,"""2014 Mahindra XUV500""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-XUV500""",167105,497299,2014,"""New_Delhi""",8
40,"""2013 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",64017,597699,2013,"""New_Delhi""",9
41,"""2014 Audi A4""","""Automatic""","""1st Owner""","""Diesel""","""Audi-A4""",44694,1283299,2014,"""New_Delhi""",8
42,"""2015 Audi Q3""","""Manual""","""1st Owner""","""Diesel""","""Audi-Q3""",28309,1358299,2015,"""New_Delhi""",7
43,"""2021 Renault Kiger""","""Automatic""","""1st Owner""","""Petrol""","""Renault-Kiger""",6344,821699,2021,"""New_Delhi""",1
44,"""2013 Honda CRV""","""Automatic""","""1st Owner""","""Petrol""","""Honda-CRV""",41411,1060999,2013,"""New_Delhi""",9
45,"""2015 Ford Figo Aspire""","""Manual""","""1st Owner""","""Diesel""","""Ford-Figo""",95302,378899,2015,"""New_Delhi""",7
46,"""2017 Maruti IGNIS""","""Manual""","""1st Owner""","""Petrol""","""Maruti-IGNIS""",35452,512799,2017,"""New_Delhi""",5
47,"""2021 Tata Safari""","""Manual""","""1st Owner""","""Diesel""","""Tata-Safari""",12456,1874599,2021,"""New_Delhi""",1
48,"""2016 Honda CRV""","""Automatic""","""2nd Owner""","""Petrol""","""Honda-CRV""",103602,1122199,2016,"""New_Delhi""",6
49,"""2015 Hyundai Elite i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Elite""",45293,585399,2015,"""New_Delhi""",7
50,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",102593,389799,2014,"""New_Delhi""",8
51,"""2010 Honda City""","""Manual""","""1st Owner""","""Petrol""","""Honda-City""",34566,423899,2010,"""New_Delhi""",12
52,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",83316,399999,2013,"""New_Delhi""",9
53,"""2010 Hyundai i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-i20""",60774,298999,2010,"""New_Delhi""",12
54,"""2014 Audi Q3""","""Manual""","""1st Owner""","""Diesel""","""Audi-Q3""",68298,1190399,2014,"""New_Delhi""",8
55,"""2020 Tata ALTROZ""","""Manual""","""1st Owner""","""Petrol""","""Tata-ALTROZ""",10325,822499,2020,"""New_Delhi""",2
56,"""2015 Hyundai Elite i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Elite""",34586,563399,2015,"""New_Delhi""",7
57,"""2014 Ford Ecosport""","""Manual""","""3rd Owner""","""Diesel""","""Ford-Ecosport""",43868,395299,2014,"""New_Delhi""",8
58,"""2014 Audi Q5""","""Automatic""","""1st Owner""","""Diesel""","""Audi-Q5""",32976,1976899,2014,"""New_Delhi""",8
59,"""2018 Tata Hexa""","""Automatic""","""1st Owner""","""Diesel""","""Tata-Hexa""",50153,1193599,2018,"""New_Delhi""",4
60,"""2013 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",70806,397699,2013,"""New_Delhi""",9
61,"""2016 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",85153,792799,2016,"""New_Delhi""",6
62,"""2013 Toyota Innova""","""Manual""","""2nd Owner""","""Diesel""","""Toyota-Innova""",121393,614599,2013,"""New_Delhi""",9
63,"""2015 Skoda Rapid""","""Automatic""","""1st Owner""","""Diesel""","""Skoda-Rapid""",53102,510199,2015,"""New_Delhi""",7
64,"""2015 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",45710,505399,2015,"""New_Delhi""",7
65,"""2015 Maruti S Cross""","""Manual""","""1st Owner""","""Diesel""","""Maruti-S""",46911,629299,2015,"""New_Delhi""",7
66,"""2015 Maruti S Cross""","""Manual""","""1st Owner""","""Diesel""","""Maruti-S""",83563,513699,2015,"""New_Delhi""",7
67,"""2019 Hyundai VENUE""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-VENUE""",31472,867899,2019,"""New_Delhi""",3
68,"""2013 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",97106,387899,2013,"""New_Delhi""",9
69,"""2017 Jeep Compass""","""Manual""","""1st Owner""","""Diesel""","""Jeep-Compass""",76959,1239499,2017,"""New_Delhi""",5
70,"""2015 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",55090,470099,2015,"""New_Delhi""",7
71,"""2016 Mahindra Scorpio""","""Manual""","""2nd Owner""","""Diesel""","""Mahindra-Scorpio""",66530,1039599,2016,"""New_Delhi""",6
72,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",78882,495899,2014,"""New_Delhi""",8
73,"""2017 Tata Tiago""","""Manual""","""2nd Owner""","""Petrol""","""Tata-Tiago""",7877,394299,2017,"""New_Delhi""",5
74,"""2021 Renault Kiger""",,"""1st Owner""","""Petrol""","""Renault-Kiger""",7661,961899,2021,"""New_Delhi""",1
75,"""2015 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",118048,719299,2015,"""New_Delhi""",7
76,"""2015 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",53468,862599,2015,"""New_Delhi""",7
77,"""2015 Hyundai Creta""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Creta""",40661,862599,2015,"""New_Delhi""",7
78,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",59717,448499,2014,"""New_Delhi""",8
79,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",38501,446399,2014,"""New_Delhi""",8
80,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",50070,503899,2014,"""New_Delhi""",8
81,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",78344,431299,2014,"""New_Delhi""",8
82,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",89391,430399,2014,"""New_Delhi""",8
83,"""2012 Maruti Swift Dzire""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Swift""",56671,367399,2012,"""New_Delhi""",10
84,"""2015 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",51726,767599,2015,"""New_Delhi""",7
85,"""2014 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",70007,989999,2014,"""New_Delhi""",8
86,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Elite""",78915,508599,2014,"""New_Delhi""",8
87,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",27328,693199,2016,"""New_Delhi""",6
88,"""2016 Maruti Baleno""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Baleno""",18853,551799,2016,"""New_Delhi""",6
89,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",72470,483799,2014,"""New_Delhi""",8
90,"""2017 Tata Tiago""","""Manual""","""1st Owner""","""Petrol""","""Tata-Tiago""",14941,428699,2017,"""New_Delhi""",5
91,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",52334,593199,2016,"""New_Delhi""",6
92,"""2015 Hyundai Elite i20""","""Manual""","""2nd Owner""","""Diesel""","""Hyundai-Elite""",93680,469599,2015,"""New_Delhi""",7
93,"""2015 Hyundai Elite i20""","""Manual""","""2nd Owner""","""Diesel""","""Hyundai-Elite""",53672,428399,2015,"""New_Delhi""",7
94,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",60014,603099,2016,"""New_Delhi""",6
95,"""2017 Toyota Etios""","""Manual""","""1st Owner""","""Petrol""","""Toyota-Etios""",25190,563899,2017,"""New_Delhi""",5
96,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",42263,566199,2016,"""New_Delhi""",6
97,"""2019 Hyundai VENUE""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-VENUE""",36417,892499,2019,"""New_Delhi""",3
98,"""2013 Honda Amaze""","""Manual""","""1st Owner""","""Diesel""","""Honda-Amaze""",48118,307499,2013,"""New_Delhi""",9
99,"""2014 Mahindra XUV500""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-XUV500""",89117,616699,2014,"""New_Delhi""",8
100,"""2020 Maruti New  Wagon-R""","""Manual""","""3rd Owner""","""Petrol""","""Maruti-New""",11731,453999,2020,"""New_Delhi""",2
101,"""2016 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",79409,597699,2016,"""New_Delhi""",6
102,"""2013 Maruti Ertiga""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ertiga""",49273,528899,2013,"""New_Delhi""",9
103,"""2016 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",73665,578799,2016,"""New_Delhi""",6
104,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",30809,546399,2016,"""New_Delhi""",6
105,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Baleno""",55639,541199,2016,"""New_Delhi""",6
106,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",42478,544899,2016,"""New_Delhi""",6
107,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Baleno""",67443,557299,2016,"""New_Delhi""",6
108,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",39101,463499,2014,"""New_Delhi""",8
109,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",151830,613199,2016,"""New_Delhi""",6
110,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",102161,613399,2016,"""New_Delhi""",6
111,"""2013 Maruti Ertiga""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ertiga""",161023,465899,2013,"""New_Delhi""",9
112,"""2019 Volkswagen Polo""","""Manual""","""1st Owner""","""Petrol""","""Volkswagen-Polo""",18899,582899,2019,"""New_Delhi""",3
113,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",53567,611799,2017,"""New_Delhi""",5
114,"""2013 Honda Amaze""","""Manual""","""1st Owner""","""Diesel""","""Honda-Amaze""",50089,313699,2013,"""New_Delhi""",9
115,"""2013 Maruti Swift Dzire""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",32482,397199,2013,"""New_Delhi""",9
116,"""2014 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",50969,448399,2014,"""New_Delhi""",8
117,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",71903,478399,2014,"""New_Delhi""",8
118,"""2014 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",49192,415099,2014,"""New_Delhi""",8
119,"""2019 Tata NEXON""","""Automatic""","""2nd Owner""","""Petrol""","""Tata-NEXON""",13776,872899,2019,"""New_Delhi""",3
120,"""2013 Toyota Fortuner""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Fortuner""",77604,1168899,2013,"""New_Delhi""",9
121,"""2016 Mahindra Scorpio""","""Manual""","""2nd Owner""","""Diesel""","""Mahindra-Scorpio""",87758,1022099,2016,"""New_Delhi""",6
122,"""2018 Maruti Dzire""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Dzire""",57061,620799,2018,"""New_Delhi""",4
123,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",72644,507499,2016,"""New_Delhi""",6
124,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",33302,477499,2013,"""New_Delhi""",9
125,"""2017 Maruti Swift Dzire""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Swift""",51966,461299,2017,"""New_Delhi""",5
126,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",87555,492399,2016,"""New_Delhi""",6
127,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",73060,447899,2014,"""New_Delhi""",8
128,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",67786,437899,2014,"""New_Delhi""",8
129,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",62859,651699,2016,"""New_Delhi""",6
130,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",65552,660299,2016,"""New_Delhi""",6
131,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",35941,663099,2016,"""New_Delhi""",6
132,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",57235,651199,2016,"""New_Delhi""",6
133,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",65905,643799,2016,"""New_Delhi""",6
134,"""2018 Maruti Dzire""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Dzire""",19063,642499,2018,"""New_Delhi""",4
135,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",84028,626199,2017,"""New_Delhi""",5
136,"""2016 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",66181,624899,2016,"""New_Delhi""",6
137,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",38144,692399,2016,"""New_Delhi""",6
138,"""2017 Maruti S Cross""","""Manual""","""1st Owner""","""Diesel""","""Maruti-S""",40129,922299,2017,"""New_Delhi""",5
139,"""2020 MG HECTOR PLUS""",,"""2nd Owner""","""Petrol""","""MG-HECTOR""",33726,1548199,2020,"""New_Delhi""",2
140,"""2016 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",30950,642399,2016,"""New_Delhi""",6
141,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",62296,679699,2017,"""New_Delhi""",5
142,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Baleno""",63927,506599,2016,"""New_Delhi""",6
143,"""2016 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",67285,601199,2016,"""New_Delhi""",6
144,"""2014 Honda City""","""Manual""","""2nd Owner""","""Diesel""","""Honda-City""",137612,396099,2014,"""New_Delhi""",8
145,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",90318,685599,2016,"""New_Delhi""",6
146,"""2017 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",67111,680299,2017,"""New_Delhi""",5
147,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",81987,686299,2017,"""New_Delhi""",5
148,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",66066,681599,2017,"""New_Delhi""",5
149,"""2019 Honda Civic""","""Automatic""","""1st Owner""","""Petrol""","""Honda-Civic""",17961,1596799,2019,"""New_Delhi""",3
150,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",37831,856899,2017,"""New_Delhi""",5
151,"""2013 Honda Amaze""","""Manual""","""1st Owner""","""Diesel""","""Honda-Amaze""",73241,326099,2013,"""New_Delhi""",9
152,"""2017 Maruti Dzire""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Dzire""",23319,641899,2017,"""New_Delhi""",5
153,"""2013 Toyota Fortuner""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Fortuner""",100433,1181199,2013,"""New_Delhi""",9
154,"""2013 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",76136,442699,2013,"""New_Delhi""",9
155,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",75057,428699,2013,"""New_Delhi""",9
156,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",26769,729799,2016,"""New_Delhi""",6
157,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",57582,699699,2016,"""New_Delhi""",6
158,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",37191,696099,2016,"""New_Delhi""",6
159,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",27613,696999,2016,"""New_Delhi""",6
160,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",31295,695199,2016,"""New_Delhi""",6
161,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",42160,696999,2016,"""New_Delhi""",6
162,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",44409,706099,2016,"""New_Delhi""",6
163,"""2017 Maruti Wagon R 1.0""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Wagon""",55218,350399,2017,"""New_Delhi""",5
164,"""2014 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",93758,788399,2014,"""New_Delhi""",8
165,"""2014 Hyundai Elite i20""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Elite""",44837,473399,2014,"""New_Delhi""",8
166,"""2013 Toyota Fortuner""","""Automatic""","""1st Owner""","""Diesel""","""Toyota-Fortuner""",75620,1226199,2013,"""New_Delhi""",9
167,"""2017 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",42616,898599,2017,"""New_Delhi""",5
168,"""2013 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",81167,424699,2013,"""New_Delhi""",9
169,"""2018 Maruti Vitara Brezza""","""Manual""","""3rd Owner""","""Diesel""","""Maruti-Vitara""",52410,615699,2018,"""New_Delhi""",4
170,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",55327,738799,2017,"""New_Delhi""",5
171,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",59082,731799,2017,"""New_Delhi""",5
172,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",43454,693899,2017,"""New_Delhi""",5
173,"""2015 Maruti Baleno""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Baleno""",76165,521399,2015,"""New_Delhi""",7
174,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",82799,763799,2017,"""New_Delhi""",5
175,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",22037,757399,2017,"""New_Delhi""",5
176,"""2011 Toyota Corolla Altis""","""Manual""","""1st Owner""","""Petrol""","""Toyota-Corolla""",67923,486499,2011,"""New_Delhi""",11
177,"""2014 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",48513,503599,2014,"""New_Delhi""",8
178,"""2015 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",76733,564599,2015,"""New_Delhi""",7
179,"""2015 Hyundai Elite i20""","""Manual""","""3rd Owner""","""Diesel""","""Hyundai-Elite""",141436,465099,2015,"""New_Delhi""",7
180,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",60651,435199,2013,"""New_Delhi""",9
181,"""2016 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",16529,693999,2016,"""New_Delhi""",6
182,"""2017 Maruti Vitara Brezza""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",28444,726399,2017,"""New_Delhi""",5
183,"""2018 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",65694,845299,2018,"""New_Delhi""",4
184,"""2017 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",73718,553999,2017,"""New_Delhi""",5
185,"""2018 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",90345,680599,2018,"""New_Delhi""",4
186,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",31379,580999,2016,"""New_Delhi""",6
187,"""2017 Honda City""","""Manual""","""1st Owner""","""Petrol""","""Honda-City""",26236,778999,2017,"""New_Delhi""",5
188,"""2017 Honda City""","""Automatic""","""3rd Owner""","""Petrol""","""Honda-City""",36544,818499,2017,"""New_Delhi""",5
189,"""2014 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",84262,947799,2014,"""New_Delhi""",8
190,"""2018 Honda Amaze""","""Manual""","""1st Owner""","""Petrol""","""Honda-Amaze""",23859,693299,2018,"""New_Delhi""",4
191,"""2015 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",122636,498999,2015,"""New_Delhi""",7
192,"""2017 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",75539,538499,2017,"""New_Delhi""",5
