Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
3724,"""2015 Ford Figo Aspire""","""Manual""","""1st Owner""","""Diesel""","""Ford-Figo""",95302,378899,2015,"""Noida""",7
3725,"""2013 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",97106,387899,2013,"""Noida""",9
3726,"""2014 Maruti Ritz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ritz""",54894,298299,2014,"""Noida""",8
3727,"""2013 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",24700,386199,2013,"""Noida""",9
3728,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",59082,731799,2017,"""Noida""",5
3729,"""2014 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",84717,414499,2014,"""Noida""",8
3730,"""2015 Maruti Baleno""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Baleno""",76165,521399,2015,"""Noida""",7
3731,"""2015 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",122636,498999,2015,"""Noida""",7
3732,"""2017 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",75539,538499,2017,"""Noida""",5
3733,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",44409,706099,2016,"""Noida""",6
3734,"""2013 Maruti Swift Dzire""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",32482,397199,2013,"""Noida""",9
3735,"""2017 Maruti Swift""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-Swift""",41765,491899,2017,"""Noida""",5
3736,"""2017 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",108210,610899,2017,"""Noida""",5
3737,"""2014 Maruti Ritz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ritz""",80189,351699,2014,"""Noida""",8
3738,"""2013 Toyota Fortuner""","""Automatic""","""1st Owner""","""Diesel""","""Toyota-Fortuner""",75620,1226199,2013,"""Noida""",9
3739,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Baleno""",63927,506599,2016,"""Noida""",6
3740,"""2013 Maruti Ertiga""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ertiga""",49273,528899,2013,"""Noida""",9
3741,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",53567,611799,2017,"""Noida""",5
3742,"""2018 Ford Ecosport""","""Manual""","""2nd Owner""","""Diesel""","""Ford-Ecosport""",43375,754799,2018,"""Noida""",4
3743,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",62859,651699,2016,"""Noida""",6
3744,"""2019 Maruti Vitara Brezza""","""Automatic""","""2nd Owner""","""Diesel""","""Maruti-Vitara""",27955,879499,2019,"""Noida""",3
3745,"""2014 Renault Duster""","""Manual""","""1st Owner""","""Diesel""","""Renault-Duster""",65090,470599,2014,"""Noida""",8
3746,"""2018 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",66837,699199,2018,"""Noida""",4
